objectId,collect_list(fid),collect_list(magpsf),collect_list(jd),collect_list(class),maxclass
ZTF19aapwyfz,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,-0.6108753;-2.2660346;-0.25487828;-1.4516985;-0.24771817;-0.58281225;-0.053564847;-0.29734203;0.42982918;-0.0109953955;0.9021367;0.31640765;1.0159254;0.5489338;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown,Unknown
ZTF19abcjpkr,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,-1.0085433;-1.7375662;-0.32284772;-1.0798817;-0.3984233;-0.45980972;-0.2661819;-0.431372;0.44944084;-0.20680454;0.9387844;0.108770005;0;0;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown,Unknown
ZTF18aaacolv,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,-0.10985349;-2.0761194;-0.33192164;-1.4196713;-0.48125756;-0.600206;-0.29859316;-0.6249344;0.046165958;-0.4609481;0.19781344;0.052672893;0;0;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown,Unknown
ZTF20aakmlpv,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,-0.6250627;0.14821929;0.05685287;-0.10534941;-0.29096806;-0.10665442;-0.6001197;-0.3598549;-0.34603006;-0.73457503;0.21026212;-0.88056445;0.5637306;-0.87923354;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown,Unknown
ZTF18acsjmmw,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,-0.75566566;-2.9622197;-0.46073216;-2.1116104;-0.26976025;-1.2048094;0.37409723;-0.7903791;0.668004;-0.33519846;0;0;0;0;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown,Unknown
ZTF17aabfibe,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,-0.37113988;-3.051431;-0.22147469;-2.1855202;-0.25399566;-1.2409639;0.1100311;-0.926608;0.52386475;-0.6271228;0.5064007;-0.17372258;0;0;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown,Unknown
ZTF19abmprpm,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,-1.6836189;1.5213134;0.087092474;0.7906559;0.48302704;0.3456394;0.064177975;0.0064233243;-0.15561257;-0.094637096;-0.02195996;-0.121442825;0.3734269;-0.067093655;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown,Unknown
ZTF18aaxcycu,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,-0.5576336;-2.3469083;-0.1524861;-1.5785263;-0.08791225;-0.68656886;-0.26052165;-0.58717734;-0.2292551;-0.5635337;-0.19356464;-0.20678288;-0.038030177;0.2629266;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown,Unknown
ZTF20acldhpw,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,-1.3601246;1.5468054;0.07011217;0.52418065;0.014525101;0.025530847;-0.18422164;-0.095803306;0.33799553;0.011096224;0;0;0;0;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown,Unknown
ZTF18ackuraz,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,-0.26179135;-3.2035959;-0.17109205;-2.3309288;-0.16216265;-1.3580537;0.23686597;-0.9554929;0.65165234;-0.6078201;0.654375;-0.121941015;0;0;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown,Unknown
ZTF18abnbxrg,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,-0.7321496;-1.9936502;-0.27694154;-1.2619841;-0.42279315;-0.53054124;-0.28351825;-0.5372266;0.14236169;-0.38481492;0.42681038;0.040871833;0;0;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown,Unknown
ZTF18abnpgje,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,-1.0499814;-2.520525;-0.62438995;-1.6641998;-0.12493108;-0.73539037;0.56334645;-0.2619846;0;0;0;0;0;0;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown,Unknown
